"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"153207","相鉄フレッサイン　銀座七丁目","東京都","中央区銀座7-11-12","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"52322","ワシントンＲ＆Ｂホテル東京東陽町","東京都","江東区南砂2-1-5","136-0076","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"181376","Ｌ　ｓｔａｙ＆ｇｒｏｗ南砂町","東京都","江東区南砂7-10‐14","136-0076","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"104554","秋葉原ワシントンホテル","東京都","千代田区神田佐久間町1-8-3","101-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168314","ホテルＳＵＩ神田ｂｙＡＢＥＳＴ","東京都","千代田区鍛冶町1-9-15","101-0044","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165857","相鉄フレッサイン東京神田","東京都","千代田区神田紺屋町8-1","101-0035","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"5628","デイナイスホテル東京","東京都","江東区木場2-1-1","135-0042","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41707","東急ステイ門前仲町","東京都","江東区富岡1-23-2","135-0047","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"68107","レム日比谷","東京都","千代田区有楽町1-2-1","100-0006","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"188764","プレミアホテルーＣＡＢＩＮ　ＰＲＥＳＩＤＥＮＴー東京","東京都","中央区晴海３丁目２番７号","104-0053","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"176544","ＪＲ東日本ホテルメッツ　プレミア　秋葉原","東京都","千代田区外神田一丁目17-4","101-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"161040","明神の湯ドーミーインＰＲＥＭＩＵＭ神田（ドーミーイン・御宿野乃　ホテルズグループ）","東京都","千代田区神田須田町1-16","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"4910","パールホテル茅場町","東京都","中央区新川1-2-5","104-0033","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"7342","神田ステーションホテル","東京都","千代田区鍛冶町1-4-3","101-0044","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"129632","アパホテル〈人形町駅北〉","東京都","中央区日本橋堀留町2-9-4","103-0012","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"188130","アパホテル〈茅場町八丁堀駅前〉","東京都","中央区日本橋茅場町3-8-5","103-0025			","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"1494","ホテル銀座ダイエー","東京都","中央区銀座3-12-2","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"191560","東京豊洲　万葉倶楽部","東京都","江東区豊洲6-5-1","135-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"167815","はとバス直営　銀座キャピタルホテル萌木","東京都","中央区築地3-3-1","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"18164","ワシントンＲ＆Ｂホテル東日本橋","東京都","中央区東日本橋2-15-6","103-0004","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"187176","トーセイホテル　ココネ築地銀座プレミア","東京都","中央区築地6-23-8","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"184685","パレスホテル東京","東京都","千代田区丸の内1-1-1","100-0005","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"142746","アパホテル＜銀座　新富町駅前＞【２０２６年３月客室設備リニューアル】","東京都","中央区新富2-5-10","104-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"149481","東急ステイ銀座","東京都","中央区銀座4-10-5","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"134799","ソラリア西鉄ホテル銀座","東京都","中央区銀座4丁目9-2","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"158347","伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町（ドーミーイン・御宿野乃　ホテルズグループ）","東京都","中央区日本橋小伝馬町2-3","103-0001","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178293","東京ベイ潮見プリンスホテル","東京都","江東区潮見2-8-16","135-0052","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"1990","スマイルホテル日本橋三越前","東京都","中央区日本橋本町1-4-14","103-0023","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
